Number,Element,Hex
1,H,FFFFFF
2,He,D9FFFF
3,Li,CC80FF
4,Be,C2FF00
5,B,FFB5B5
6,C,909090
7,N,3050F8
8,O,FF0D0D
9,F,90E050
10,Ne,B3E3F5
11,Na,AB5CF2
12,Mg,8AFF00
13,Al,BFA6A6
14,Si,F0C8A0
15,P,FF8000
16,S,FFFF30
17,Cl,1FF01F
18,Ar,80D1E3
19,K,8F40D4
20,Ca,3DFF00
21,Sc,E6E6E6
22,Ti,BFC2C7
23,V,A6A6AB
24,Cr,8A99C7
25,Mn,9C7AC7
26,Fe,E06633
27,Co,F090A0
28,Ni,50D050
29,Cu,C88033
30,Zn,7D80B0
31,Ga,C28F8F
32,Ge,668F8F
33,As,BD80E3
34,Se,FFA100
35,Br,A62929
36,Kr,5CB8D1
37,Rb,702EB0
38,Sr,00FF00
39,Y,94FFFF
40,Zr,94E0E0
41,Nb,73C2C9
42,Mo,54B5B5
43,Tc,3B9E9E
44,Ru,248F8F
45,Rh,0A7D8C
46,Pd,006985
47,Ag,C0C0C0
48,Cd,FFD98F
49,In,A67573
50,Sn,668080
51,Sb,9E63B5
52,Te,D47A00
53,I,940094
54,Xe,429EB0
55,Cs,57178F
56,Ba,00C900
57,La,70D4FF
58,Ce,FFFFC7
59,Pr,D9FFC7
60,Nd,C7FFC7
61,Pm,A3FFC7
62,Sm,8FFFC7
63,Eu,61FFC7
64,Gd,45FFC7
65,Tb,30FFC7
66,Dy,1FFFC7
67,Ho,00FF9C
68,Er,00E675
69,Tm,00D452
70,Yb,00BF38
71,Lu,00AB24
72,Hf,4DC2FF
73,Ta,4DA6FF
74,W,2194D6
75,Re,267DAB
76,Os,266696
77,Ir,175487
78,Pt,D0D0E0
79,Au,FFD123
80,Hg,B8B8D0
81,Tl,A6544D
82,Pb,575961
83,Bi,9E4FB5
84,Po,AB5C00
85,At,754F45
86,Rn,428296
87,Fr,420066
88,Ra,007D00
89,Ac,70ABFA
90,Th,00BAFF
91,Pa,00A1FF
92,U,008FFF
93,Np,0080FF
94,Pu,006BFF
95,Am,545CF2
96,Cm,785CE3
97,Bk,8A4FE3
98,Cf,A136D4
99,Es,B31FD4
100,Fm,B31FBA
101,Md,B30DA6
102,No,BD0D87
103,Lr,C70066
104,Rf,CC0059
105,Db,D1004F
106,Sg,D90045
107,Bh,E00038
108,Hs,E6002E
109,Mt,EB0026